month,revenue,expenses
2023-12,3900,1000
2024-01,4200,2200
2024-02,5800,3200
2024-03,6500,4100
2024-04,7000,5500
2024-05,8500,6000
2024-06,10000,8500
2024-07,13000,12000
2024-08,15000,13500
2024-09,16500,15000
2024-10,18500,17000
2024-11,20500,17500
2024-12,22500,19000
2025-01,24000,20000
2025-02,26500,21000
2025-03,28500,21000
2025-04,30200,21500
2025-05,31000,22000
2025-06,31500,22000
2025-07,32500,22500
2025-08,33100,23000
2025-09,34000,23200
2025-10,35500,24000
2025-11,37200,24500
2025-12,39000,25000
2026-01,38500,25500
2026-02,40100,26000
