symbol,asset_type,quantity,buy_price,purchase_date
AAPL,stock,25,226.51,2024-10-04
MSFT,stock,15,421.85,2024-10-04
NVDA,stock,40,121.44,2024-10-04
SHEL,stock,60,66.82,2024-10-18
TSM,stock,35,176.23,2024-10-18
HSBC,stock,120,46.10,2024-10-18
EEM,etf,150,44.37,2024-10-18
BTC,crypto,0.35,64800.00,2024-10-25
GOOGL,stock,20,162.34,2024-11-08
AMZN,stock,12,210.57,2024-11-08
AZN,stock,30,71.93,2024-11-08
SONY,stock,80,18.45,2024-11-15
VEA,etf,200,49.12,2024-11-15
ETH,crypto,2.5,2510.00,2024-11-22
ASML,stock,8,693.40,2024-12-06
SAP,stock,18,231.75,2024-12-06
BABA,stock,55,87.62,2024-12-06
EWJ,etf,180,71.34,2024-12-20
RY,stock,28,118.93,2025-01-10
SE,stock,45,82.40,2025-01-10
FXI,etf,250,26.78,2025-01-10
LVMUY,stock,40,119.55,2025-02-14
CNQ,stock,95,39.12,2025-02-14
BHP,stock,70,51.84,2025-03-07
MELI,stock,4,1820.00,2025-03-07
NVO,stock,22,88.75,2025-03-21
RELIANCE,stock,100,29.40,2025-04-04
VALE,stock,200,10.85,2025-04-04
WPM,stock,50,58.22,2025-04-18
SLB,stock,75,42.67,2025-04-18
